Solar_Radiation (W/m2),Temperature (C),Energy_Generated_kWh
0.0,20.7,0.0
0.0,20.2,0.0
0.0,19.8,0.0
0.0,19.2,0.0
0.0,18.8,0.0
0.0,18.4,0.0
0.0,18.1,0.0
1.0,17.8,0.75
86.0,19.6,64.5
268.0,22.1,201.0
449.0,25.0,336.75
590.0,27.4,442.5
672.0,28.9,504.0
685.0,29.7,513.75
628.0,30.1,471.0
508.0,30.1,381.0
340.0,29.6,255.0
151.0,28.0,113.25
15.0,25.0,11.25
0.0,23.6,0.0
0.0,22.5,0.0
0.0,21.6,0.0
0.0,21.0,0.0
0.0,20.5,0.0
0.0,19.6,0.0
0.0,19.0,0.0
0.0,18.5,0.0
0.0,18.0,0.0
0.0,17.7,0.0
0.0,17.5,0.0
0.0,18.0,0.0
1.0,17.8,0.75
85.0,19.2,63.75
267.0,21.5,200.25
447.0,24.1,335.25
587.0,26.4,440.25
670.0,28.0,502.5
685.0,29.0,513.75
630.0,29.6,472.5
511.0,29.8,383.25
343.0,29.5,257.25
153.0,28.0,114.75
16.0,24.0,12.0
0.0,22.8,0.0
0.0,22.0,0.0
0.0,21.2,0.0
0.0,20.3,0.0
0.0,19.2,0.0
0.0,18.4,0.0
0.0,17.5,0.0
0.0,17.2,0.0
0.0,16.9,0.0
0.0,16.6,0.0
0.0,16.3,0.0
0.0,16.5,0.0
1.0,16.4,0.75
85.0,17.8,63.75
257.0,20.0,192.75
454.0,22.4,340.5
599.0,24.8,449.25
685.0,26.5,513.75
699.0,27.6,524.25
643.0,28.3,482.25
523.0,28.5,392.25
352.0,28.0,264.0
159.0,26.5,119.25
16.0,23.0,12.0
0.0,22.0,0.0
0.0,21.0,0.0
0.0,20.5,0.0
0.0,19.9,0.0
0.0,19.0,0.0
0.0,18.4,0.0
0.0,17.9,0.0
0.0,17.3,0.0
0.0,17.0,0.0
0.0,16.7,0.0
0.0,16.4,0.0
0.0,17.1,0.0
1.0,17.1,0.75
83.0,18.6,62.25
264.0,21.0,198.0
446.0,23.5,334.5
587.0,25.6,440.25
669.0,27.2,501.75
669.0,28.3,501.75
593.0,28.8,444.75
485.0,29.0,363.75
324.0,28.5,243.0
151.0,27.0,113.25
15.0,24.0,11.25
0.0,22.8,0.0
0.0,21.8,0.0
0.0,21.0,0.0
0.0,20.2,0.0
0.0,19.5,0.0
0.0,18.8,0.0
0.0,18.1,0.0
0.0,17.7,0.0
0.0,17.3,0.0
0.0,16.9,0.0
0.0,16.5,0.0
0.0,16.5,0.0
1.0,16.4,0.75
84.0,18.0,63.0
267.0,20.4,200.25
451.0,23.0,338.25
596.0,25.2,447.0
683.0,26.7,512.25
701.0,27.7,525.75
648.0,28.2,486.0
530.0,28.3,397.5
358.0,27.9,268.5
163.0,26.2,122.25
18.0,23.2,13.5
0.0,21.8,0.0
0.0,20.9,0.0
0.0,20.2,0.0
0.0,19.4,0.0
0.0,18.8,0.0
0.0,18.1,0.0
0.0,17.7,0.0
0.0,17.4,0.0
0.0,17.0,0.0
0.0,16.6,0.0
0.0,16.4,0.0
0.0,17.2,0.0
1.0,17.0,0.75
83.0,18.6,62.25
267.0,20.9,200.25
451.0,23.4,338.25
594.0,25.5,445.5
678.0,27.4,508.5
691.0,28.5,518.25
623.0,29.0,467.25
495.0,29.0,371.25
335.0,28.6,251.25
159.0,27.3,119.25
18.0,23.9,13.5
0.0,22.8,0.0
0.0,21.9,0.0
0.0,21.2,0.0
0.0,20.5,0.0
0.0,19.9,0.0
0.0,19.5,0.0
0.0,19.0,0.0
0.0,18.5,0.0
0.0,18.0,0.0
0.0,17.8,0.0
0.0,17.6,0.0
0.0,18.4,0.0
1.0,18.0,0.75
79.0,19.5,59.25
258.0,22.1,193.5
429.0,24.6,321.75
561.0,26.9,420.75
627.0,28.6,470.25
622.0,29.5,466.5
590.0,29.9,442.5
456.0,29.7,342.0
319.0,29.2,239.25
149.0,27.9,111.75
16.0,24.9,12.0
0.0,23.9,0.0
0.0,22.6,0.0
0.0,22.2,0.0
0.0,21.8,0.0
0.0,21.4,0.0
0.0,21.0,0.0
0.0,20.8,0.0
0.0,19.8,0.0
0.0,19.5,0.0
0.0,19.4,0.0
0.0,19.4,0.0
0.0,19.8,0.0
1.0,19.8,0.75
70.0,21.0,52.5
241.0,23.4,180.75
432.0,26.0,324.0
579.0,28.0,434.25
665.0,29.5,498.75
683.0,30.5,512.25
632.0,31.0,474.0
518.0,31.0,388.5
347.0,30.7,260.25
155.0,29.2,116.25
18.0,26.5,13.5
0.0,25.5,0.0
0.0,24.6,0.0
0.0,24.0,0.0
0.0,23.4,0.0
0.0,22.8,0.0
0.0,22.0,0.0
0.0,21.6,0.0
0.0,21.3,0.0
0.0,20.9,0.0
0.0,20.5,0.0
0.0,20.1,0.0
