Energy_Generated_kWh,Month,Day
3294.75,January,1
3296.25,January,2
3354.75,January,3
3215.25,January,4
3375.0,January,5
3296.25,January,6
3080.25,January,7
3255.75,January,8
2877.75,January,9
3237.0,January,10
3276.75,January,11
3329.25,January,12
3426.75,January,13
3542.25,January,14
3638.25,January,15
3608.25,January,16
3596.25,January,17
3634.5,January,18
3336.75,January,19
3611.25,January,20
3679.5,January,21
3675.0,January,22
3780.0,January,23
3784.5,January,24
3798.0,January,25
3809.25,January,26
3816.75,January,27
3813.0,January,28
3816.0,January,29
3783.75,January,30
3743.25,January,31
3719.25,February,1
3729.0,February,2
3858.75,February,3
3864.75,February,4
3880.5,February,5
3892.5,February,6
3914.25,February,7
3945.75,February,8
3991.5,February,9
4146.75,February,10
4143.75,February,11
4104.0,February,12
3828.75,February,13
4185.75,February,14
4161.75,February,15
3874.5,February,16
4105.5,February,17
4342.5,February,18
4389.75,February,19
4364.25,February,20
3849.0,February,21
4380.75,February,22
4511.25,February,23
4663.5,February,24
4615.5,February,25
3746.25,February,26
4469.25,February,27
4501.5,February,28
4195.5,February,29
4456.5,March,1
4344.75,March,2
4768.5,March,3
4757.25,March,4
4893.75,March,5
4800.0,March,6
4740.0,March,7
4786.5,March,8
4882.5,March,9
4835.25,March,10
4795.5,March,11
4811.25,March,12
4898.25,March,13
4911.75,March,14
5001.75,March,15
5007.75,March,16
5036.25,March,17
4971.0,March,18
5127.75,March,19
5105.25,March,20
4818.0,March,21
5103.75,March,22
5110.5,March,23
4898.25,March,24
5120.25,March,25
5040.0,March,26
4922.25,March,27
4809.75,March,28
4611.75,March,29
5007.0,March,30
5166.75,March,31
5200.5,April,1
4989.0,April,2
5250.75,April,3
5052.0,April,4
5196.75,April,5
4600.5,April,6
5321.25,April,7
5325.0,April,8
5355.75,April,9
4822.5,April,10
4887.75,April,11
5363.25,April,12
5096.25,April,13
4970.25,April,14
5045.25,April,15
5256.0,April,16
5337.75,April,17
5353.5,April,18
4785.75,April,19
5388.0,April,20
4935.75,April,21
4959.0,April,22
5343.0,April,23
5213.25,April,24
5291.25,April,25
5046.0,April,26
5267.25,April,27
5263.5,April,28
5475.75,April,29
5489.25,April,30
5651.25,May,1
5646.0,May,2
5569.5,May,3
5382.75,May,4
5252.25,May,5
5487.0,May,6
5382.0,May,7
5244.0,May,8
5078.25,May,9
5397.0,May,10
5212.5,May,11
4803.75,May,12
4147.5,May,13
4906.5,May,14
4971.0,May,15
4910.25,May,16
5102.25,May,17
5136.0,May,18
5373.75,May,19
5401.5,May,20
5281.5,May,21
4944.75,May,22
5505.75,May,23
5530.5,May,24
5430.75,May,25
5108.25,May,26
5397.75,May,27
5426.25,May,28
5379.0,May,29
5379.0,May,30
5433.0,May,31
5365.5,June,1
5351.25,June,2
5154.0,June,3
5232.75,June,4
5073.0,June,5
5158.5,June,6
5262.75,June,7
2894.25,June,8
4855.5,June,9
3541.5,June,10
5034.0,June,11
5108.25,June,12
4887.75,June,13
4693.5,June,14
4688.25,June,15
4770.0,June,16
4789.5,June,17
3776.25,June,18
4434.0,June,19
4053.0,June,20
4784.25,June,21
5011.5,June,22
2299.5,June,23
2809.5,June,24
3721.5,June,25
4529.25,June,26
3046.5,June,27
2399.25,June,28
2108.25,June,29
2188.5,June,30
1370.25,July,1
2653.5,July,2
2823.0,July,3
3069.0,July,4
2331.75,July,5
3616.5,July,6
4032.0,July,7
3228.0,July,8
3167.25,July,9
3505.5,July,10
3489.75,July,11
3515.25,July,12
3248.25,July,13
2664.0,July,14
2160.75,July,15
2981.25,July,16
3326.25,July,17
2153.25,July,18
2877.75,July,19
3222.0,July,20
2157.75,July,21
1223.25,July,22
2345.25,July,23
1778.25,July,24
2053.5,July,25
4269.0,July,26
2256.75,July,27
3139.5,July,28
1043.25,July,29
4110.0,July,30
4212.0,July,31
2538.75,August,1
1896.75,August,2
1806.0,August,3
2108.25,August,4
2510.25,August,5
3962.25,August,6
4149.0,August,7
3937.5,August,8
2914.5,August,9
2880.75,August,10
3265.5,August,11
3556.5,August,12
3681.75,August,13
4124.25,August,14
3740.25,August,15
4324.5,August,16
4320.75,August,17
4506.0,August,18
4392.0,August,19
3370.5,August,20
3639.75,August,21
2607.0,August,22
2071.5,August,23
1011.0,August,24
839.25,August,25
324.0,August,26
2300.25,August,27
2501.25,August,28
3550.5,August,29
3763.5,August,30
4547.25,August,31
4223.25,September,1
1141.5,September,2
2488.5,September,3
3417.75,September,4
3965.25,September,5
2022.75,September,6
3615.75,September,7
4445.25,September,8
2997.75,September,9
3513.75,September,10
2369.25,September,11
4104.0,September,12
4152.75,September,13
3586.5,September,14
4033.5,September,15
4383.0,September,16
4028.25,September,17
3328.5,September,18
3954.0,September,19
4177.5,September,20
2966.25,September,21
3189.75,September,22
3137.25,September,23
2651.25,September,24
2046.0,September,25
1452.75,September,26
1942.5,September,27
1272.75,September,28
2209.5,September,29
3549.0,September,30
3397.5,October,1
3906.75,October,2
3138.0,October,3
3177.0,October,4
4024.5,October,5
3879.0,October,6
4362.0,October,7
4318.5,October,8
3606.0,October,9
2937.0,October,10
2600.25,October,11
3189.75,October,12
3936.0,October,13
3536.25,October,14
3804.75,October,15
3595.5,October,16
3896.25,October,17
3639.75,October,18
3232.5,October,19
3292.5,October,20
2937.75,October,21
3854.25,October,22
3862.5,October,23
3913.5,October,24
4149.0,October,25
4113.75,October,26
4043.25,October,27
4029.75,October,28
3804.75,October,29
3862.5,October,30
3976.5,October,31
3968.25,November,1
3946.5,November,2
3758.25,November,3
3863.25,November,4
3869.25,November,5
3898.5,November,6
3816.0,November,7
3786.0,November,8
3778.5,November,9
3785.25,November,10
3770.25,November,11
3732.75,November,12
3729.75,November,13
3733.5,November,14
3601.5,November,15
3597.75,November,16
3585.0,November,17
3657.0,November,18
3592.5,November,19
3571.5,November,20
3597.0,November,21
3558.75,November,22
3522.75,November,23
3485.25,November,24
3487.5,November,25
3519.0,November,26
3512.25,November,27
3474.75,November,28
3492.0,November,29
3519.75,November,30
3476.25,December,1
