RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
291.42181396484375,408.71173095703125,8047.10009765625
296.9556884765625,409.3235168457031,8053.9501953125
289.08935546875,418.4049377441406,8111.9501953125
270.8412170410156,414.0289306640625,7987.35009765625
276.603759765625,420.0988464355469,8036.5
276.878173828125,414.1700439453125,7996.14990234375
281.63458251953125,413.9347839355469,8033.14990234375
277.4269714355469,417.46380615234375,8058.5
278.6617736816406,418.4049377441406,8078.4501953125
277.83856201171875,419.722412109375,8117.0
287.67156982421875,422.5927429199219,8166.2001953125
284.104248046875,422.5927429199219,8203.099609375
293.6170959472656,427.81573486328125,8345.2998046875
309.0754089355469,422.9692077636719,8269.349609375
309.1668701171875,421.0399169921875,8274.2001953125
302.71832275390625,420.0047607421875,8256.650390625
300.52301025390625,423.3456115722656,8300.2001953125
301.34625244140625,421.4163818359375,8294.0498046875
300.4772644042969,421.98101806640625,8416.349609375
301.5749206542969,426.2159729003906,8420.25
299.4710998535156,423.5809020996094,8412.7998046875
295.9494934082031,416.05218505859375,8237.0498046875
285.476318359375,408.71173095703125,8138.60009765625
261.37408447265625,392.9486389160156,7967.5498046875
267.1824035644531,400.5714111328125,8122.39990234375
261.1454162597656,401.1360778808594,8125.60009765625
261.5112609863281,405.27679443359375,8227.900390625
259.0873718261719,405.4179992675781,8341.849609375
257.44091796875,395.53662109375,8261.25
258.2183837890625,393.8897399902344,8324.650390625
261.5570068359375,390.1724548339844,8265.0498046875
266.49639892578125,394.2662048339844,8335.7001953125
265.35302734375,393.8897399902344,8331.7001953125
257.44091796875,387.1123962402344,8204.849609375
251.40394592285156,387.3493347167969,8198.2998046875
258.2183837890625,382.5152282714844,8378.650390625
253.553466796875,383.8422546386719,8364.349609375
255.52005004882812,377.1123352050781,8115.5498046875
248.70553588867188,368.6287841796875,7938.4501953125
240.9763946533203,355.16900634765625,7839.2001953125
232.19532775878906,368.249755859375,7885.14990234375
218.52061462402344,353.4627990722656,7576.75
213.169677734375,350.2400207519531,7535.10009765625
214.5417022705078,373.0364074707031,7920.60009765625
211.11158752441406,384.31622314453125,8086.5498046875
219.70970153808594,383.7948303222656,8146.0
209.96823120117188,380.0033264160156,8018.2998046875
188.7015838623047,372.8468933105469,7756.4501953125
200.3639373779297,365.8326416015625,7623.0498046875
166.4287567138672,336.3063049316406,6942.5498046875
168.48678588867188,364.173828125,7268.0
